Place,Address,Distance
Ramat Aviv Mall,Tel- Aviv,94000M
Azrieli center,Tel- Aviv,90000M
Kikar Hamedina,Tel- Aviv,91000M
Gan Hair,Tel- Aviv,91000M
Opre Tawer,Tel- Aviv,90000M
Tagor Mall,Tel- Aviv,94000M
Grand mall,Beer Sheeba,2400M
Azriely Mall,Beer Sheeba,2700M
Mezada Paz station,Beer Sheeba,1000M
YesPlanet,Beer Sheeba,4300M
Cinima City,Beer Sheeba,3200M
BGU,Beer Sheeba,50M
Azriely Mall,Haifa,170KM
Grand Mall,Haifa,171KM
Hutzot Hamifratz,Haifa,173KM
Delek Gass station,Haifa,170KM
Rehovot's mall,Rehovot,70000M
Herzel Bar,Rehovot,71000M
American City,Rehovot,70000M
